step,orbit_index,timestamp_s,timestamp_utc,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79
3,2899,3.000000,2026-04-21T14:22:06.624659+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
3,2899,3.000000,2026-04-21T14:22:06.624659+00:00,x_equals_y,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
3,2899,3.000000,2026-04-21T14:22:06.624659+00:00,driver-CR1-160p-dec_payld-base,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,240.000000,262.000000,286.000000,313.000000,342.000000,376.000000,408.000000,448.000000,489.000000,536.000000,582.000000,635.000000,695.000000,761.000000,826.000000,901.000000,979.000000,1069.000000,1165.000000,1254.000000,1340.000000,1367.000000,1352.000000,1328.000000,1349.000000,1312.000000,1293.000000,1242.000000,1192.000000,1145.000000,1091.000000,981.000000,925.000000,795.000000,727.000000,596.000000,491.000000,409.000000,340.000000,236.000000,228.000000,170.000000,142.000000
3,2899,3.000000,2026-04-21T14:22:06.624659+00:00,driver-CR1-160p-dec_payld-rlydd,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,239.000000,263.000000,286.000000,312.000000,344.000000,376.000000,410.000000,448.000000,490.000000,534.000000,583.000000,636.000000,696.000000,758.000000,825.000000,899.000000,982.000000,1068.000000,1163.000000,1255.000000,1333.000000,1370.000000,1382.000000,1409.000000,1371.000000,1362.000000,1332.000000,1298.000000,1267.000000,1231.000000,1145.000000,1134.000000,1062.000000,978.000000,919.000000,845.000000,754.000000,661.000000,578.000000,533.000000,407.000000,378.000000,283.000000
4,2900,4.000000,2026-04-21T14:22:07.624659+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
4,2900,4.000000,2026-04-21T14:22:07.624659+00:00,x_equals_y,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
4,2900,4.000000,2026-04-21T14:22:07.624659+00:00,driver-CR1-160p-dec_payld-base,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,240.000000,262.000000,286.000000,313.000000,342.000000,376.000000,408.000000,448.000000,489.000000,536.000000,582.000000,635.000000,695.000000,761.000000,826.000000,901.000000,979.000000,1069.000000,1165.000000,1254.000000,1340.000000,1367.000000,1352.000000,1328.000000,1349.000000,1312.000000,1293.000000,1242.000000,1192.000000,1145.000000,1091.000000,981.000000,925.000000,795.000000,727.000000,596.000000,491.000000,409.000000,340.000000,236.000000,228.000000,170.000000,142.000000
4,2900,4.000000,2026-04-21T14:22:07.624659+00:00,driver-CR1-160p-dec_payld-rlydd,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,239.000000,263.000000,286.000000,312.000000,344.000000,376.000000,410.000000,448.000000,490.000000,534.000000,583.000000,636.000000,696.000000,758.000000,825.000000,899.000000,982.000000,1068.000000,1163.000000,1255.000000,1333.000000,1370.000000,1382.000000,1409.000000,1371.000000,1362.000000,1332.000000,1298.000000,1267.000000,1231.000000,1145.000000,1134.000000,1062.000000,978.000000,919.000000,845.000000,754.000000,661.000000,578.000000,533.000000,407.000000,378.000000,283.000000
5,2901,5.000000,2026-04-21T14:22:08.624659+00:00,nodes,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
5,2901,5.000000,2026-04-21T14:22:08.624659+00:00,x_equals_y,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,242.000000,265.000000,289.000000,316.000000,346.000000,378.000000,412.000000,451.000000,492.000000,538.000000,588.000000,642.000000,702.000000,767.000000,838.000000,915.000000,1000.000000,1093.000000,1194.000000,1304.000000,1425.000000,1557.000000,1701.000000,1859.000000,2031.000000,2219.000000,2424.000000,2649.000000,2894.000000,3162.000000,3455.000000,3775.000000,4125.000000,4507.000000,4924.000000,5380.000000,5878.000000,6422.000000,7017.000000,7667.000000,8377.000000,9152.000000,10000.000000
5,2901,5.000000,2026-04-21T14:22:08.624659+00:00,driver-CR1-160p-dec_payld-base,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,240.000000,262.000000,286.000000,313.000000,342.000000,376.000000,408.000000,448.000000,489.000000,536.000000,582.000000,635.000000,695.000000,761.000000,826.000000,901.000000,979.000000,1069.000000,1165.000000,1254.000000,1340.000000,1367.000000,1352.000000,1328.000000,1349.000000,1312.000000,1293.000000,1242.000000,1192.000000,1145.000000,1091.000000,981.000000,925.000000,795.000000,727.000000,596.000000,491.000000,409.000000,340.000000,236.000000,228.000000,170.000000,142.000000
5,2901,5.000000,2026-04-21T14:22:08.624659+00:00,driver-CR1-160p-dec_payld-rlydd,10.000000,11.000000,12.000000,13.000000,14.000000,16.000000,17.000000,19.000000,20.000000,22.000000,24.000000,26.000000,29.000000,32.000000,35.000000,38.000000,41.000000,45.000000,49.000000,54.000000,59.000000,64.000000,70.000000,77.000000,84.000000,92.000000,100.000000,109.000000,119.000000,130.000000,143.000000,156.000000,170.000000,186.000000,203.000000,222.000000,239.000000,263.000000,286.000000,312.000000,344.000000,376.000000,410.000000,448.000000,490.000000,534.000000,583.000000,636.000000,696.000000,758.000000,825.000000,899.000000,982.000000,1068.000000,1163.000000,1255.000000,1333.000000,1370.000000,1382.000000,1409.000000,1371.000000,1362.000000,1332.000000,1298.000000,1267.000000,1231.000000,1145.000000,1134.000000,1062.000000,978.000000,919.000000,845.000000,754.000000,661.000000,578.000000,533.000000,407.000000,378.000000,283.000000
